Molecules,SMILES,Ads.E,SELFIES,GroupSELFIES
mol56,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(SC)),20.86,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][S][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0methylthio][pop]
mol57,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(CC)),18.51,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0ethyl][pop]
mol58,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(N)),25.2,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][N],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0amino][pop]
mol59,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C(S)=C1),24.77,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][S][=C][Ring1][=Branch2],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0thiol][pop]
mol60,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C(O)=C1),23.35,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0hydroxly][pop]
mol61,C(N(CC))(C(O)=O)C(C1=CC(O)=C(O)C(C)=C1),25.68,[C][Branch1][Ring2][N][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],[C][Branch][N][:0ethyl][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0methyl][pop]
mol62,C(N(CC))(C(O)=O)C(C1=CC(O)=C(O)C(C#N)=C1),22.45,[C][Branch1][Ring2][N][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch2],[C][Branch][N][:0ethyl][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0cyano][pop]
mol63,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(Br)=C1),25.23,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][Br][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0bromo][pop]
mol64,C(N)(C(O)=O)C(C1=C(Br)C(O)=C(O)C=C1),18.23,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][Br][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0bromo][pop]
mol65,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C(Br)=C1),25.84,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][Br][=C][Ring1][=Branch2],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0bromo][pop]
mol66,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C)=C1),25.41,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0methyl][pop]
mol67,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(O)=C1),24.4,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0hydroxly][pop]
