Molecules,SMILES,Adsorption energy,1 C,2C,3C,4C,5C,6C,7C,8C,9C,N,Ring O1,O2,O3,O4,Polarizability,Dipole moment,TPSA,entropy,EA,volume,natom,IP,McGowan_Volume,Kier1,Kier2,Kier3
mol96,NC(CC1=C(OC#N)C(O)=C(O)C=C1)C(O)=O,18.65,0.269313,0.234241,0.150147,-0.073776,-0.003742,0.329514,-0.011086,0.108682,0.56377,-0.075653,-0.211961,-0.25498,-0.467993,-0.149691,126.72,2.54,136.8,130.37,0.019,197.84,17,0.2305,1.4894,13.06666667,5.365079365,3.5
mol97,NCC1=C(CC(N)C(O)=O)C=CC(O)=C1O,23.64,0.242734,0.058104,0.087533,-0.084495,-0.039477,0.328378,-0.038191,0.127282,0.577353,-0.089482,-0.233502,-0.266192,-0.494817,-0.149009,128.05,4.6,129.8,125.35,0.009,200.09,16,0.1924,1.6303,14.0625,6.074380165,3.769230769
mol98,CSC1=C(CC(N)C(O)=O)C=CC(O)=C1O,24.13,0.307084,-0.217949,0.141108,-0.055374,-0.026912,0.332476,-0.028627,0.115984,0.587566,-0.107126,-0.22338,-0.252547,-0.473051,-0.136401,138.188,2.08,103.78,130.21,0.0177,206.69,16,0.2098,1.694,14.0625,6.074380165,3.769230769
mol99,CCC1=C(CC(N)C(O)=O)C=CC(O)=C1O,25.23,0.218177,0.108537,0.096273,-0.068949,-0.034681,0.336439,-0.056403,0.104988,0.591133,-0.108171,-0.2288,-0.265903,-0.470322,-0.10774,130.54,3.45,103.78,129.02,0.0037,205.36,16,0.2031,1.648,15.05882353,6.805293006,4.301783265
mol100,NC(CC1=C(C=O)C(O)=C(O)C=C1)C(O)=O,24.28,0.254815,-0.007583,0.10846,-0.071061,-0.010123,0.337667,-0.026108,0.121442,0.566556,-0.081013,-0.21817,-0.23116,-0.477729,-0.14457,124.93,2.53,120.85,124.41,0.2158,190.98,16,0.0703,1.5942,13.06666667,5.365079365,3.5
mol101,NC(CC1=CC(O)=C(O)C(OCF)=C1)C(O)=O,17.93,0.279636,0.217251,0.117927,-0.087104,-0.023367,0.327672,-0.021204,0.10074,0.586698,-0.102343,-0.222309,-0.271423,-0.477416,-0.129627,124,3.28,113.01,129.89,0.0033,202.72,17,0.2076,1.7125,14.0625,6.074380165,3.495198903
mol102,COC1=CC(=CC(O)=C1O)C(O)C(N)C(O)=O,25.63,0.312523,-0.139604,0.140112,-0.084219,0.328547,0.277016,0.210572,0.094258,0.574997,-0.09556,-0.226409,-0.268163,-0.483156,-0.143976,129.83,3.13,133.24,136.181,0.0069,205.59,17,0.2046,1.689,15.05882353,6.25,3.484444444
mol103,NC(C(O)C1=CC(O)=C(O)C(OCF)=C1)C(O)=O,21.25,0.312251,-0.136021,0.136774,-0.074828,0.318974,0.269779,0.211558,0.095818,0.575417,-0.094569,-0.216655,-0.264812,-0.482762,-0.143284,130.16,3.26,133.24,138.55,0.2054,210.76,18,0.0085,1.7067,16.05555556,6.9632,3.995837669
mol104,NC(C(O)C1=CC(O)=C(O)C(=C1)[N+]([O-])=O)C(O)=O,27.62,0.31686,-0.098983,0.128438,-0.023714,0.261076,0.296224,0.222075,0.098287,0.573327,-0.088484,-0.172358,-0.255701,-0.48026,-0.142381,130.93,7.99,169.83,137.775,0.2299,203.38,18,0.0746,1.6636,16.05555556,6.437869822,3.75
mol105,NC(C(O)C1=CC(O)=C(O)C(OC#N)=C1)C(O)=O,18.29,0.316631,-0.108986,0.121977,-0.039892,0.283789,0.312046,0.222074,0.096519,0.574836,-0.088853,-0.202558,-0.252451,-0.479816,-0.142896,131.59,8.59,157.03,137.39,0.228,205.89,18,0.0222,1.7028,16.05555556,6.9632,3.995837669
